Country,HPI_Rank,Region,Average_Life_Expectancy,Average_Wellbeing,Happy_Life_Years,Ecological_Footprint,Inequality_of_Outcomes,GDP_per_Capita,Population,Happiness_Measure,Female_Percent,Male_Percent
Afghanistan,110,Middle East and North Africa,59.668,3.8,12.39602381,0.79,0.426557441,690.842629,29726803,122.4265212,48,52
Albania,13,Post-communist,77.347,5.5,34.41473601,2.21,0.165133717,4247.485437,2900489,31.78700769,48,52
Algeria,30,Middle East and North Africa,74.313,5.6,30.46946131,2.12,0.244861748,5583.61616,37439427,48.06599151,49,51
Argentina,19,Americas,75.927,6.5,40.16667387,3.14,0.164238301,14357.41159,42095224,25.81394575,49,51
Armenia,73,Post-communist,74.446,4.3,24.01876006,2.23,0.216648103,3565.517575,2978339,31.09996153,51,49
Australia,105,Asia Pacific,82.052,7.2,53.06949771,9.31,0.080678248,67646.10385,22728254,5.119510565,49,51
Austria,43,Europe,81.004,7.4,54.43622962,6.06,0.071293505,48324.25404,8429991,7.052052353,53,47
Bangladesh,8,Asia Pacific,70.843,4.7,23.28948169,0.72,0.273657249,858.9333626,155257387,126.5520726,48,52
Belarus,102,Post-communist,70.874,5.7,34.0143274,5.09,0.131909878,6721.834908,9464000,10.46938895,54,46
Belgium,87,Europe,80.429,6.9,49.53780808,7.44,0.085372803,44731.21948,11128246,6.368077841,50,50
Belize,27,Americas,69.795,6.142857143,34.17681296,2.54818,0.180123167,4674.293377,336707,30.30638941,50,50
Benin,137,Sub Saharan Africa,59.167,3.2,9.935781016,1.41,0.444113292,807.688451,10049792,59.63540679,52,48
Bhutan,56,Asia Pacific,68.748,5.6,27.41212497,2.32167,0.265591392,2452.151588,743711,44.04144916,49,51
Bolivia,92,Americas,67.45,6,25.55696553,2.96,0.349805139,2645.290274,10238762,47.8263985,50,50
Bosnia and Herzegovina,76,Post-communist,76.175,4.8,28.63808322,3.12,0.186044558,4494.640812,3828419,21.80299103,50,50
Botswana,126,Sub Saharan Africa,64.249,4.8,21.28091644,3.83,0.283912853,6935.593653,2132822,22.86092978,52,48
Brazil,23,Americas,73.907,6.9,38.96429571,3.11,0.21632153,12157.30822,202401584,35.47104813,50,50
Bulgaria,109,Post-communist,73.913,4.2,23.98029257,3.32,0.192834223,7333.355073,7305888,18.03084781,50,50
Burkina Faso,119,Sub Saharan Africa,57.955,4,12.57961279,1.21,0.432492611,673.0267834,16590813,82.85986529,49,51
Burundi,131,Sub Saharan Africa,55.803,3.433333333,9.490206596,0.8,0.47742712,244.1964862,10124572,114.3380065,51,49
Cambodia,74,Asia Pacific,67.467,3.9,18.21107456,1.21,0.275349742,946.4766787,14832255,59.87634889,50,50
Cameroon,124,Sub Saharan Africa,54.61,4.2,11.5700088,1.17,0.472751563,1222.192142,21659488,92.67627687,50,50
Canada,85,Americas,81.654,7.4,53.85987669,8.17,0.088286642,52737.77716,34751476,6.529533111,49,51
Chad,140,Sub Saharan Africa,50.808,4,9.580599051,1.46,0.507342316,972.6793451,12715465,70.62205039,51,49
Chile,35,Americas,81.05,6.6,44.65574621,4.36,0.143068222,15253.33083,17388437,17.55309262,50,50
China,72,Asia Pacific,75.365,5.1,30.62505082,3.38,0.174994238,6264.643878,1350695000,19.89971827,48,52
Colombia,3,Americas,73.673,6.4,35.07089278,1.87,0.235043953,7885.061292,46881018,59.26466099,50,50
Comoros,93,Sub Saharan Africa,62.598,4,15.44197929,1.03,0.355964115,750.3146086,733661,86.5345308,50,50
Costa Rica,1,Americas,79.076,7.3,48.17479218,2.84,0.145567694,9733.396931,4654148,29.58790505,49,51
Cote d'Ivoire,135,Sub Saharan Africa,50.83,3.825,10.27045356,1.27,0.446844777,1281.382865,21102641,68.40762519,48,52
Croatia,47,Post-communist,76.961,6,39.58176514,3.92,0.117671766,13235.97757,4267558,13.86143386,51,49
Cyprus,41,Europe,79.789,6.2,42.2791556,4.21,0.120878131,28868.27382,1129303,14.20366276,50,50
Czech Republic,64,Post-communist,78.185,6.3,43.43527319,5.19,0.093970135,19640.92866,10510785,8.918390458,51,49
Denmark,32,Europe,79.832,7.5,54.40601383,5.51,0.071060884,57636.12531,5591572,7.721777454,50,50
Djibouti,127,Sub Saharan Africa,61.311,4.4,15.0860601,2.19,0.41654172,1586.780133,853069,51.31040787,50,50
Dominican Republic,45,Americas,73.097,4.8,23.73678155,1.53,0.296085916,5967.000984,10155036,67.89958334,49,51
Ecuador,10,Americas,75.449,6,34.34789418,2.17,0.218878838,5702.168288,15419493,45.66135325,50,50
Egypt,86,Middle East and North Africa,70.742,4.2,21.80422475,2.15,0.233552572,3226.131379,85660902,32.27548805,49,51
El Salvador,17,Americas,72.481,5.9,32.238895,2.07,0.223002529,3921.720395,6072233,46.06972611,50,50
Estonia,118,Post-communist,76.2,5.4,34.96770684,6.86,0.122325266,17490.99313,1322696,7.33737613,55,45
Ethiopia,66,Sub Saharan Africa,62.816,4.6,17.82202477,1.02,0.359282018,469.7923039,92191211,101.7802278,50,50
Finland,37,Europe,80.421,7.4,54.58650551,5.87,0.062135037,47415.55987,5413971,6.299406677,51,49
